,matrix.nrow...1.,Match.No,Innings,Batting.Team,City,Date,Toss.Decision,Toss.Winner,Venue,Team1,Team2,Over,Runs.Batsman,Runs.Extras.Wides,Runs.Extras.No.Ball,Runs.Extras.Byes,Runs.Extras.Legbyes,Runs.Extras,Total.Runs,Wicket.Kind.Caught,Wicket.Kind.Caught.And.Bowled,Wicket.Kind.Bowled,Wicket.Kind.Lbw,Wicket.Kind.Runout,Wicket.Kind.Stumped,Wicket.Kind.Total
32,NA,296,2,West Indies,Barbados,2/5/2011,field,West Indies,"Kensington Oval, Bridgetown",West Indies,Pakistan,29.5,144,9,1,0,0,10,154,4,0,0,0,0,0,4
33,NA,297,1,Pakistan,Guyana,5/5/2011,bat,Pakistan,Providence Stadium,West Indies,Pakistan,41.2,134,4,0,0,1,5,139,3,0,3,4,0,0,10
34,NA,297,2,West Indies,Guyana,5/5/2011,bat,Pakistan,Providence Stadium,West Indies,Pakistan,23.4,117,12,3,2,6,23,140,0,0,0,0,0,0,0
35,NA,298,1,West Indies,Trinidad,6/6/2011,bat,West Indies,"Queen's Park Oval, Port of Spain",West Indies,India,49.6,195,12,2,0,5,19,214,4,0,1,3,0,1,9
36,NA,298,2,India,Trinidad,6/6/2011,bat,West Indies,"Queen's Park Oval, Port of Spain",West Indies,India,44.5,210,3,1,0,3,7,217,4,1,0,0,1,0,6
37,NA,299,1,West Indies,Trinidad,8/6/2011,field,India,"Queen's Park Oval, Port of Spain",West Indies,India,49.6,216,16,1,1,6,24,240,5,0,1,1,0,2,9
38,NA,299,2,India,Trinidad,8/6/2011,field,India,"Queen's Park Oval, Port of Spain",West Indies,India,33.4,173,8,2,0,0,10,183,3,0,0,0,0,0,3
39,NA,300,1,West Indies,Antigua,11/6/2011,field,India,"Sir Vivian Richards Stadium, North Sound",West Indies,India,49.6,219,4,0,0,2,6,225,5,0,1,0,1,1,8
40,NA,300,2,India,Antigua,11/6/2011,field,India,"Sir Vivian Richards Stadium, North Sound",West Indies,India,46.3,217,5,5,0,1,11,228,5,0,0,1,1,0,7
41,NA,301,1,West Indies,Antigua,13-06-2011,field,India,"Sir Vivian Richards Stadium, North Sound",West Indies,India,49.6,231,8,3,0,7,18,249,6,0,0,1,1,0,8
